Date,FTR,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W
2010-01-26,1,0.04338842975206612,0.04132231404958678,5,2,0,0,0,0,0,0,0,0,-0.026859504132231406,-0.04338842975206612,0.0020661157024793363,0.006198347107438013,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2010-01-26,0,0.03099173553719008,0.03925619834710744,4,5,0,0,0,0,0,0,0,0,-0.028925619834710745,-0.01859504132231405,-0.008264462809917354,-0.0020661157024793363,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2010-01-26,1,0.07851239669421488,0.05578512396694215,11,4,0,0,0,0,0,0,0,0,0.04132231404958678,0.004132231404958677,0.022727272727272728,0.014462809917355372,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2010-01-26,0,0.03925619834710744,0.07024793388429752,3,10,0,0,0,0,0,0,0,0,-0.04338842975206612,0.024793388429752063,-0.03099173553719008,-0.014462809917355372,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
2010-01-27,0,0.0743801652892562,0.09297520661157024,7,13,0,0,0,0,1,0,0,0,0.022727272727272728,0.06611570247933884,-0.01859504132231405,-0.012396694214876032,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
2010-01-27,1,0.04338842975206612,0.045454545454545456,2,4,0,0,0,0,0,0,0,0,-0.0371900826446281,-0.045454545454545456,-0.0020661157024793363,-0.004132231404958677,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2010-01-27,1,0.09917355371900825,0.06818181818181818,11,9,0,0,0,0,0,0,0,0,0.07024793388429752,0.004132231404958677,0.03099173553719008,0.004132231404958677,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
2010-01-27,1,0.053719008264462825,0.047520661157024795,9,2,0,0,0,0,0,0,0,0,-0.008264462809917354,-0.016528925619834708,0.006198347107438013,0.014462809917355372,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
2010-01-30,0,0.035916824196597356,0.03780718336483932,2,4,0,0,0,0,0,0,0,0,-0.04914933837429111,-0.03969754253308129,-0.0018903591682419654,-0.0037807183364839307,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2010-01-30,0,0.062381852551984876,0.07183364839319471,6,8,0,0,0,0,0,0,0,0,-0.0018903591682419654,0.034026465028355386,-0.009451795841209826,-0.0037807183364839307,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
